time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
20100,2026-03-02 07:54:08,22.3091417352913,39.0983230280172,0,Available with any HD 360 subscription,Available with any HD 360 subscription,3.55151094042,0,0,0,0,14,5,0,3.55151094042,0,0,0,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,"En vol"
20200,2026-03-02 07:54:08,22.3091417351743,39.0983230471307,0,,,3.55151094042,0,0,0.0064517062432,0.0064517062432,14,5,0,3.55151094042,0,0,0.0064517062432,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
20300,2026-03-02 07:54:08,22.3091417389815,39.0983230464217,0,,,3.55151094042,0,0,0.006356463458,0.007861220724,14,5,0,3.55151094042,0,0,0.0064517062432,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
20400,2026-03-02 07:54:09,22.3091417369712,39.0983228968116,0,,,3.55151094042,0,0,0.04429134,0.058365815516,14,5,0,3.55151094042,0,0,0.04429134,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
20500,2026-03-02 07:54:09,22.3091417411206,39.0983228844511,0,,,3.55151094042,0,0,0.048505907064,0.062804135868,14,5,0,3.55151094042,0,0,0.048505907064,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
20600,2026-03-02 07:54:09,22.3091417377042,39.0983229173636,0,,,3.55151094042,0,0,0.0373605655,0.073983270084,14,5,0,3.55151094042,0,0,0.048505907064,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
20700,2026-03-02 07:54:09,22.3091417415521,39.0983229097211,0,,,3.55151094042,0,0,0.03999508002,0.076920278052,14,5,0,3.55151094042,0,0,0.048505907064,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
20800,2026-03-02 07:54:09,22.3091415725571,39.0983229338937,0,,,3.55151094042,0,0,0.067339241,0.139115490016,14,5,0,3.55151094042,0,0,0.067339241,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,"Setting new Return-To-Home altitude to 20m (66 ft). Data Recorder File Index is 24. Setting new Maximum Flight Altitude to 20m (66 ft)"
20900,2026-03-02 07:54:09,22.3091415615735,39.098322929942,0,,,3.55151094042,0,0,0.071505579716,0.143338915348,14,5,0,3.55151094042,0,0,0.071505579716,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
21000,2026-03-02 07:54:09,22.3091415799293,39.0983229472995,0,,,3.55151094042,0,0,0.062891734296,0.152237209596,14,5,0,3.55151094042,0,0,0.071505579716,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.19,4.191,4.193,0,0,0,0,80.96,3.55151094042,0,41,Motors_Started,
21100,2026-03-02 07:54:09,22.3091415707455,39.0983229463422,0,,,3.55151094042,0,0,0.066061681904,0.155603351436,14,5,12.572,3.55151094042,0,0,0.071505579716,0,0,0,188.4, 4, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,41,Motors_Started,
21200,2026-03-02 07:54:09,22.3091417504998,39.0983229575137,0,,,3.55151094042,0,0,0.0244361228292,0.221294954588,14,5,12.572,3.55151094042,0,0,0.071505579716,0,0,0,188.4, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,41,Motors_Started,
21300,2026-03-02 07:54:10,22.3091417560563,39.0983229590697,0,,,3.55151094042,0,0,0.0244746726992,0.22338911476,14,5,12.572,3.55151094042,0,0,0.071505579716,0,0,0,188.5, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,41,Motors_Started,
21400,2026-03-02 07:54:10,22.3091415816454,39.0983229657207,0,,,3.55151094042,0,0,0.059871721076,0.287062345144,14,5,12.572,3.55151094042,0,0,0.071505579716,0,0,0,188.5, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,41,Motors_Started,
21500,2026-03-02 07:54:10,22.3091415725807,39.0983229700521,0,,,3.55151094042,0,0,0.062505907512,0.290678486992,14,5,12.572,3.55151094042,0,0,0.071505579716,0,0,0,188.5, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,41,Motors_Started,
21600,2026-03-02 07:54:10,22.3091415864276,39.0983231373638,0,,,3.55151094042,0,0,0.065666996852,0.34737862004,14,5,12.572,3.55151094042,0,0,0.071505579716,0,0,0,188.5, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,11,AutoTakeoff,
21700,2026-03-02 07:54:10,22.3091415791543,39.0983231568737,0,,,3.55151094042,0,0,0.071672246388,0.3544783578,14,5,12.572,3.55151094042,0,0,0.071672246388,0,0,0,188.5, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,11,AutoTakeoff,
21800,2026-03-02 07:54:10,22.3091415957365,39.0983231331959,0,,,3.55151094042,0,0,0.062071524296,0.364501324,14,5,12.572,3.55151094042,0,0,0.071672246388,0,0,0,188.5, 3.9, -1.6,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,11,AutoTakeoff,
21900,2026-03-02 07:54:10,22.3091415903189,39.0983231514979,0,,,3.55151094042,0,0,0.067341537588,0.37098754468,14,5,12.572,3.55151094042,0,0,0.071672246388,0,0,0,188.6, 3.7, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,11,AutoTakeoff,
22000,2026-03-02 07:54:10,22.3091416016431,39.0983231278221,0,,,3.55151094042,0,0,0.059267062264,0.37998360796,14,5,12.572,3.55151094042,0,0,0.071672246388,0,0,0,189.3, 1.2, -1.7,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.14,4.14,4.141,0,0,0,1.123,80.96,3.55151094042,0,11,AutoTakeoff,
22100,2026-03-02 07:54:10,22.3091415815672,39.098323160699,0,,,3.55151094042,0,0,0.07177329626,0.39328085248,14,5,12.429,3.55151094042,0,0,0.07177329626,0,0,-0.223694,190.3, -3.4, -2.2,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.157,4.154,4.152,0,0,0,2.768,80.96,3.55151094042,0,11,AutoTakeoff,
22200,2026-03-02 07:54:10,22.3091416978966,39.0983231820423,0,,,3.55151094042,0,0,0.05375000172,0.43633203496,14,5,12.429,3.55151094042,0,0,0.07177329626,0,0,-0.447388,190.4, -3, -1.4,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.157,4.154,4.152,0,0,0,2.768,80.96,3.55151094042,0,11,AutoTakeoff,
22300,2026-03-02 07:54:10,22.3091416047087,39.0983232631505,0,,,3.55151094042,0,0.223694,0.092568572516,0.47998361116,14,5,12.429,3.55151094042,0,0.223694,0.092568572516,-0.223694,0,-0.894776,190.4, -1.4, 0.2,0,0,1024,1024,1024,1024,0,0,0,0,198.1,0,0,88,4.157,4.154,4.152,0,0,0,2.768,80.96,3.55151094042,0,11,AutoTakeoff,
