time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2026-03-02 07:57:55,22.3091323591379,39.0983712050504,0,Available with any HD 360 subscription,Available with any HD 360 subscription,4.064607741616,0.328084,0,0,0,30,5,0,4.064607741616,0,0,0,0,0,0,3.6, -6.5, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,0,123.98,4.064607741616,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 21. Setting new Maximum Flight Altitude to 120m (394 ft) Aircraft storage full. Back up file and clear space (Code: 10062). Aircraft not in flight. Vision systems and obstacle avoidance disabled (Code: 180059)"
200,2026-03-02 07:57:55,22.309132328406,39.0983712108889,0,,,4.064607741616,0.328084,0,0.0113843835664,0.0113843835664,30,5,0,4.064607741616,0,0,0.0113843835664,0,0,0,3.7, -6.5, -0.6,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,0,123.98,4.064607741616,0,41,Motors_Started,
400,2026-03-02 07:57:55,22.3091323079823,39.0983712224548,0,,,4.064607741616,0,0,0.0195668313348,0.0197966869852,30,5,0,4.064607741616,0,0,0.0195668313348,0,0,0,3.4, -6.4, -1.1,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,0,123.98,4.064607741616,0,41,Motors_Started,
600,2026-03-02 07:57:55,22.3091322922073,39.0983712251865,0,,,4.064607741616,0,0,0.0253478354568,0.0256255913712,30,5,0,4.064607741616,0,0,0.0253478354568,0,0,0,3.5, -6.4, -1,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,0,123.98,4.064607741616,0,41,Motors_Started,
800,2026-03-02 07:57:56,22.3091322824827,39.0983712249411,0,,,4.064607741616,0,0,0.0287622056448,0.0291745744244,30,5,0,4.064607741616,0,0,0.0287622056448,0,0,0,3.5, -6.4, -1,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,0,123.98,4.064607741616,0,41,Motors_Started,
1000,2026-03-02 07:57:56,22.3091322793151,39.0983712233299,0,,,4.064607741616,0,0,0.0297697516088,0.0304518710532,30,5,0,4.064607741616,0,0,0.0297697516088,0,0,0,3.5, -6.4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,0,123.98,4.064607741616,0,41,Motors_Started,
1200,2026-03-02 07:57:56,22.3091322975392,39.0983712218251,0,,,4.064607741616,0,0,0.0231765427364,0.037120408012,30,5,8.004,4.064607741616,0,0,0.0297697516088,0,0,0,3.5, -6.4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,2.405,123.98,4.064607741616,0,41,Motors_Started,
1400,2026-03-02 07:57:56,22.309132330339,39.0983712206583,0,,,4.064607741616,0,0,0.0117540686176,0.049093833592,30,5,8.004,4.064607741616,0,0,0.0297697516088,0,0,0,3.5, -6.4, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,2.405,123.98,4.064607741616,0,41,Motors_Started,
1600,2026-03-02 07:57:56,22.3091323583198,39.0983712186489,0,,,4.064607741616,0,0,0.00459973768,0.059325133132,30,5,8.004,4.064607741616,0,0,0.0297697516088,0,0,0,3.5, -6.5, -0.9,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,2.405,123.98,4.064607741616,0,11,AutoTakeoff,
1800,2026-03-02 07:57:57,22.3091323671502,39.0983712329095,0,,,4.064607741616,0,0,0.00984744126,0.065117128068,30,5,8.004,4.064607741616,0,0,0.0297697516088,0,0,0,3.5, -6.5, -0.8,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,2.405,123.98,4.064607741616,0,11,AutoTakeoff,
2000,2026-03-02 07:57:57,22.3091323793025,39.0983712656162,0,,,4.064607741616,0,0,0.021726870774,0.077014110076,30,5,8.004,4.064607741616,0,0,0.0297697516088,0,0,0,2.8, -5.9, 0.6,0,0,1024,1024,1024,1024,0,0,0,0,13.6,0,0,79,4.006,3.99,0,0,0,0,2.405,123.98,4.064607741616,0,11,AutoTakeoff,
